"College Name","College URL","State","City","Stream","Type","Sub-Type"
"University College of Engineering, Narsampet","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Warangal","Engineering","Govt",""
"University College of Engineering, Parkal","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Warangal","Engineering","Govt",""
"University College of Engineering, Dornakal","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Warangal","Engineering","Govt",""
"University College of Engineering, Mahabubabad","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Mahabubabad","Engineering","Govt",""
"University College of Engineering, Kothagudem (New)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Kothagudem","Engineering","Govt",""
"University College of Engineering, Paloncha","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Kothagudem","Engineering","Govt",""
"University College of Engineering, Bhadrachalam","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Kothagudem","Engineering","Govt",""
"University College of Engineering, Sathupally","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Kothagudem","Engineering","Govt",""
"University College of Engineering, Madhira","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Khammam","Engineering","Govt",""
"University College of Engineering, Wyra","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Khammam","Engineering","Govt",""
"University College of Engineering, Kothagudem (Old)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Kothagudem","Engineering","Govt",""
"University College of Engineering, Khammam","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Khammam","Engineering","Govt",""
"University College of Engineering, Suryapet","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Suryapet","Engineering","Govt",""
"University College of Engineering, Nalgonda (New)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Nalgonda","Engineering","Govt",""
"University College of Engineering, Miryalaguda","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Nalgonda","Engineering","Govt",""
"University College of Engineering, Kodad","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Nalgonda","Engineering","Govt",""
"University College of Engineering, Huzurnagar","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Nalgonda","Engineering","Govt",""
"University College of Engineering, Devarakonda","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Nalgonda","Engineering","Govt",""
"University College of Engineering, Nagarjunasagar","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Nalgonda","Engineering","Govt",""
"University College of Engineering, Acharya Nagarjuna University, Guntur","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Andhra Pradesh","Guntur","Engineering","Govt",""
"University College of Engineering, Andhra University, Visakhapatnam","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Andhra Pradesh","Visakhapatnam","Engineering","Govt",""
"University College of Engineering, JNTU Kakinada, Kakinada","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Andhra Pradesh","Kakinada","Engineering","Govt",""
"University College of Engineering, JNTU Anantapur, Anantapur","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Andhra Pradesh","Anantapur","Engineering","Govt",""
"University College of Engineering, Sri Krishnadevaraya University, Anantapur","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Andhra Pradesh","Anantapur","Engineering","Govt",""
"University College of Engineering, Yogi Vemana University, Kadapa","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Andhra Pradesh","Kadapa","Engineering","Govt",""
"University College of Engineering, Rayalaseema University, Kurnool","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Andhra Pradesh","Kurnool","Engineering","Govt",""
"University College of Engineering, Vikrama Simhapuri University, Nellore","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Andhra Pradesh","Nellore","Engineering","Govt",""
"University College of Engineering, Dr. B.R. Ambedkar University, Srikakulam","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Andhra Pradesh","Srikakulam","Engineering","Govt",""
"University College of Engineering, Adikavi Nannaya University, Rajahmundry","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Andhra Pradesh","Rajahmundry","Engineering","Govt",""
"University College of Engineering, Krishna University, Machilipatnam","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Andhra Pradesh","Machilipatnam","Engineering","Govt",""
"University College of Engineering, Dravidian University, Kuppam","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Andhra Pradesh","Kuppam","Engineering","Govt",""
"University College of Engineering, Palamuru University, Mahabubnagar","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Mahabubnagar","Engineering","Govt",""
"University College of Engineering, Satavahana University, Karimnagar","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Karimnagar","Engineering","Govt",""
"University College of Engineering, Mahatma Gandhi University, Nalgonda","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Nalgonda","Engineering","Govt",""
"University College of Engineering, Kakatiya University, Warangal","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Warangal","Engineering","Govt",""
"University College of Engineering, Telangana University, Nizamabad","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Nizamabad","Engineering","Govt",""
"University College of Engineering, Palamuru University, Wanaparthy","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Wanaparthy","Engineering","Govt",""
"University College of Engineering, Palamuru University, Gadwal","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Gadwal","Engineering","Govt",""
"University College of Engineering, Palamuru University, Nagarkurnool","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Nagarkurnool","Engineering","Govt",""
"University College of Engineering, Palamuru University, Kollapur","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Kollapur","Engineering","Govt",""
"University College of Engineering, Palamuru University, Achampet","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Achampet","Engineering","Govt",""
"University College of Engineering, Palamuru University, Kalwakurthy","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Kalwakurthy","Engineering","Govt",""
"University College of Engineering, Palamuru University, Shadnagar","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Shadnagar","Engineering","Govt",""
"University College of Engineering, Palamuru University, Jadcherla","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Jadcherla","Engineering","Govt",""
"University College of Engineering, Palamuru University, Kodangal","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Kodangal","Engineering","Govt",""
"University College of Engineering, Palamuru University, Narayanpet","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Narayanpet","Engineering","Govt",""
"University College of Engineering, Palamuru University, Makthal","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Makthal","Engineering","Govt",""
"University College of Engineering, Palamuru University, Atmakur","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Atmakur","Engineering","Govt",""
"University College of Engineering, Palamuru University, Amangal","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Amangal","Engineering","Govt",""
"University College of Engineering, Palamuru University, Midjil","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Midjil","Engineering","Govt",""
"University College of Engineering, Palamuru University, Bhootpur","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Bhootpur","Engineering","Govt",""
"University College of Engineering, Palamuru University, Addakal","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Addakal","Engineering","Govt",""
"University College of Engineering, Palamuru University, Chinnachintakunta","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Chinnachintakunta","Engineering","Govt",""
"University College of Engineering, Palamuru University, Kothakota","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Kothakota","Engineering","Govt",""
"University College of Engineering, Palamuru University, Peddamandadi","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Peddamandadi","Engineering","Govt",""
"University College of Engineering, Palamuru University, Tadoor","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Tadoor","Engineering","Govt",""
"University College of Engineering, Palamuru University, Bijinapally","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Bijinapally","Engineering","Govt",""
"University College of Engineering, Palamuru University, Balanagar","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Balanagar","Engineering","Govt",""
"University College of Engineering, Palamuru University, Kondurg","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Kondurg","Engineering","Govt",""
"University College of Engineering, Palamuru University, Farooqnagar","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Farooqnagar","Engineering","Govt",""
"University College of Engineering, Palamuru University, Keshampet","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Keshampet","Engineering","Govt",""
"University College of Engineering, Palamuru University, Talakondapally","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Talakondapally","Engineering","Govt",""
"University College of Engineering, Palamuru University, Kadthal","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Kadthal","Engineering","Govt",""
"University College of Engineering, Palamuru University, Chowdarpally","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Chowdarpally","Engineering","Govt",""
"University College of Engineering, Palamuru University, Nawabpet","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Nawabpet","Engineering","Govt",""
"University College of Engineering, Palamuru University, Gandeed","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Gandeed","Engineering","Govt",""
"University College of Engineering, Palamuru University, Doulatabad","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Doulatabad","Engineering","Govt",""
"University College of Engineering, Palamuru University, Koilkonda","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Koilkonda","Engineering","Govt",""
"University College of Engineering, Palamuru University, Damaragidda","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Damaragidda","Engineering","Govt",""
"University College of Engineering, Palamuru University, Marikal","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Marikal","Engineering","Govt",""
"University College of Engineering, Palamuru University, Dhanwada","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Dhanwada","Engineering","Govt",""
"University College of Engineering, Palamuru University, Kosgi","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Kosgi","Engineering","Govt",""
"University College of Engineering, Palamuru University, Maddur","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Maddur","Engineering","Govt",""
"University College of Engineering, Palamuru University, Narayanpet (New)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Narayanpet","Engineering","Govt",""
"University College of Engineering, Palamuru University, Kodangal (New)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Kodangal","Engineering","Govt",""
"University College of Engineering, Palamuru University, Doulatabad (New)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Doulatabad","Engineering","Govt",""
"University College of Engineering, Palamuru University, Koilkonda (New)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Koilkonda","Engineering","Govt",""
"University College of Engineering, Palamuru University, Damaragidda (New)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Damaragidda","Engineering","Govt",""
"University College of Engineering, Palamuru University, Marikal (New)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Marikal","Engineering","Govt",""
"University College of Engineering, Palamuru University, Dhanwada (New)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Dhanwada","Engineering","Govt",""
"University College of Engineering, Palamuru University, Kosgi (New)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Kosgi","Engineering","Govt",""
"University College of Engineering, Palamuru University, Maddur (New)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Maddur","Engineering","Govt",""
"University College of Engineering, Palamuru University, Narayanpet (Old)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Narayanpet","Engineering","Govt",""
"University College of Engineering, Palamuru University, Kodangal (Old)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Kodangal","Engineering","Govt",""
"University College of Engineering, Palamuru University, Doulatabad (Old)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Doulatabad","Engineering","Govt",""
"University College of Engineering, Palamuru University, Koilkonda (Old)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Koilkonda","Engineering","Govt",""
"University College of Engineering, Palamuru University, Damaragidda (Old)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Damaragidda","Engineering","Govt",""
"University College of Engineering, Palamuru University, Marikal (Old)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Marikal","Engineering","Govt",""
"University College of Engineering, Palamuru University, Dhanwada (Old)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Dhanwada","Engineering","Govt",""
"University College of Engineering, Palamuru University, Kosgi (Old)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Kosgi","Engineering","Govt",""
"University College of Engineering, Palamuru University, Maddur (Old)","https://www.collegepravesh.com/college-finder/iiser-colleges-in-india/","Telangana","Maddur","Engineering","Govt",""
